Species	Common name	Species Taxonomy ID	Taxonomic Lineage	Assembly name	NCBI accession / source	Intact	Partially intact	Uncertain loss	Lost	Missing	ref_human	ref_mouse
Mus musculus	house mouse	10090	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus	mm10	GCF_000001635.20	 17,253 	 73 	 420 	 534 	 150 	 18,268 	22258 
Mus pahari	shrew mouse	10093	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Coelomys	HLmusPah1	GCF_900095145.1	 16,363 	 667 	 466 	 583 	 351 	 17,967 	 21,242 
Mus spicilegus	steppe mouse	10103	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus	HLmusSpi1	GCA_003336285.1	 16,006 	 856 	 481 	 561 	 526 	 17,791 	 21,282 
Mus spretus	western wild mouse	10096	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus	HLmusSpr1	GCA_001624865.1	 16,437 	 531 	 469 	 578 	 415 	 17,918 	 21,188 
Muscardinus avellanarius	hazel dormouse	39082	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Gliridae; Muscardinus	HLmusAve1	GCA_004027005.1	 15,743 	 1,443 	 411 	 458 	 375 	 18,125 	 18,300 
Mustela erminea	ermine	36723	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Mustelinae; Mustela	HLmusErm1	GCF_009829155.1	 17,536 	 57 	 516 	 281 	 40 	 18,735 	 18,950 
Mustela putorius	European polecat	9668	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Mustelinae; Mustela	HLmusPut1	GCA_902460205.1	 5,832 	 187 	 9,437 	 2,890 	 84 	 15,952 	 15,908 
Mustela putorius furo	domestic ferret	9669	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Mustelinae; Mustela; Mustela putorius	HLmusFur2	GCA_011764305.1	 17,514 	 77 	 503 	 319 	 17 	 18,725 	 18,839 
Myocastor coypus	nutria	10157	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Myocastoridae; Myocastor	HLmyoCoy1	GCA_004027025.1	 14,111 	 2,246 	 581 	 642 	 850 	 17,396 	 16,662 
Myodes glareolus	Bank vole	447135	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Myodes	HLmyoGla2	GCA_902806735.1	 15,542 	 892 	 431 	 592 	 973 	 17,343 	 20,040 
Myotis brandtii	Brandt's bat	109478	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Myotis	myoBra1	GCF_000412655.1	 12,275 	 3,034 	 955 	 649 	 1,517 	 16,769 	 16,645 
Myotis davidii	-	225400	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Myotis	myoDav1	GCF_000327345.1	 11,028 	 3,651 	 1,414 	 780 	 1,557 	 16,546 	 16,392 
Myotis lucifugus	little brown bat	59463	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Myotis	myoLuc2	GCF_000147115.1	 12,610 	 1,933 	 1,798 	 706 	 1,383 	 16,823 	 16,920 
Myotis lucifugus	little brown bat	59463	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Myotis	HLmyoLuc1	DNA Zoo Consortium	 12,608 	 1,883 	 1,847 	 752 	 1,340 	 16,824 	 16,806 
Myotis myotis	-	51298	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Myotis	HLmyoMyo6	Bat1K published	 17,169 	 80 	 481 	 592 	 108 	 18,246 	 18,285 
Myotis septentrionalis	Northern long-eared myotis	258941	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Myotis	HLmyoSep1	DNAzoo https://www.dnazoo.org/assemblies/Myotis_septentrionalis	 15,599 	 719 	 1,133 	 676 	 303 	 17,972 	 17,813 
Myrmecophaga tridactyla	giant anteater	71006	Mammalia; Theria; Eutheria; Xenarthra; Pilosa; Vermilingua; Myrmecophagidae; Myrmecophaga	HLmyrTri1	GCA_004026745.1	 14,127 	 2,610 	 569 	 505 	 619 	 17,628 	 16,773 
Nanger granti	Grant's gazelle	27591	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Nanger	HLnanGra1	GCA_006408635.1	 12,156 	 3,938 	 956 	 479 	 901 	 17,596 	 16,963 
Nannospalax galili	Upper Galilee mountains blind mole rat	1026970	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Spalacidae; Spalacinae; Nannospalax	nanGal1	GCF_000622305.1	 16,059 	 718 	 697 	 579 	 377 	 17,984 	 19,916 
Nasalis larvatus	proboscis monkey	43780	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Nasalis	nasLar1	GCA_000772465.1	 7,069 	 5,276 	 2,031 	 1,506 	 2,548 	 15,072 	 13,960 
Nasua narica	White-nosed coati	352831	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Procyonidae; Nasua	HLnasNar1	DNA Zoo Consortium	 14,829 	 2,155 	 427 	 566 	 453 	 17,983 	 17,627 
Neofelis nebulosa	Clouded leopard	61452	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Pantherinae; Neofelis	HLneoNeb1	DNA Zoo Consortium	 17,187 	 388 	 424 	 291 	 140 	 18,590 	 18,535 
Neomonachus schauinslandi	Hawaiian monk seal	29088	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Phocidae; Neomonachus	neoSch1	GCF_002201575.1	 16,255 	 682 	 814 	 501 	 178 	 18,337 	 18,302 
Neophocaena asiaeorientalis asiaeorientalis	Yangtze finless porpoise	1706337	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Phocoenidae; Neophocaena; Neophocaena asiaeorientalis	HLneoAsi1	GCF_003031525.1	 14,961 	 908 	 1,082 	 1,154 	 325 	 17,434 	 17,247 
Neotoma lepida	desert woodrat	56216	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Neotoma	HLneoLep1	GCA_001675575.1	 11,328 	 4,697 	 652 	 611 	 1,142 	 17,134 	 19,618 
Neotragus moschatus	suni	66442	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Neotragus	HLneoMos1	GCA_006410615.1	 12,018 	 1,737 	 2,804 	 1,224 	 647 	 17,066 	 16,593 
Neotragus pygmaeus	royal antelope	1027985	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Neotragus	HLneoPyg1	GCA_006410875.1	 9,992 	 3,034 	 3,166 	 1,161 	 1,077 	 16,690 	 15,804 
Neovison vison	American mink	452646	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Mustelinae; Neovison	HLneoVis1	GCA_900108605.1	 15,061 	 1,924 	 607 	 403 	 435 	 18,154 	 18,072 
Noctilio leporinus	greater bulldog bat	94963	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Noctilionidae; Noctilio	HLnocLep1	GCA_004026585.1	 16,036 	 718 	 456 	 739 	 481 	 17,660 	 17,415 
Nomascus leucogenys	northern white-cheeked gibbon	61853	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hylobatidae; Nomascus	HLnomLeu4	GCF_006542625.1	 17,913 	 60 	 269 	 166 	 22 	 19,162 	 19,051 
Notamacropus eugenii	tammar wallaby	9315	Mammalia; Theria; Metatheria; Diprotodontia; Macropodidae; Notamacropus	HLnotEug3	DNA Zoo Consortium	 10,079 	 2,202 	 654 	 1,006 	 4,489 	 13,153 	 10,392 
Nycticebus coucang	slow loris	9470	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lorisiformes; Lorisidae; Nycticebus	HLnycCou1	GCA_004027815.1	 13,999 	 3,003 	 531 	 359 	 538 	 18,132 	 17,594 
Nycticeius humeralis	evening bat	27670	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Nycticeius	HLnycHum2	GCA_007922795.1	 10,151 	 4,421 	 758 	 899 	 2,201 	 15,732 	 14,269 
Ochotona princeps	American pika	9978	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Lagomorpha; Ochotonidae; Ochotona	ochPri3	GCF_000292845.1	 13,985 	 2,476 	 559 	 731 	 679 	 17,469 	 17,189 
Octodon degus	degu	10160	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Octodontidae; Octodon	octDeg1	GCF_000260255.1	 14,820 	 1,878 	 577 	 612 	 543 	 17,770 	 18,074 
Odobenus rosmarus	walrus	9707	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Odobenidae; Odobenus	HLodoRos1	DNA Zoo Consortium	 16,961 	 392 	 543 	 408 	 126 	 18,501 	 18,398 
Odobenus rosmarus divergens	Pacific walrus	9708	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Odobenidae; Odobenus; Odobenus rosmarus	odoRosDiv1	GCF_000321225.1	 17,007 	 384 	 535 	 393 	 111 	 18,532 	 18,610 
Odocoileus hemionus hemionus	mule deer	9877	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Odocoileinae; Odocoileus; Odocoileus hemionus	HLodoHem1	GCA_004115125.1	 16,176 	 599 	 1,208 	 369 	 78 	 18,563 	 18,641 
Odocoileus virginianus	white-tailed deer	9874	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Odocoileinae; Odocoileus	HLodoVir3	GCA_014726795.1	 14,000 	 124 	 3,642 	 624 	 40 	 18,360 	 18,688 
Odocoileus virginianus	white-tailed deer	9874	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Odocoileinae; Odocoileus	HLodoVir2	DNA Zoo Consortium	 16,410 	 425 	 1,168 	 348 	 79 	 18,607 	 18,632 
Odocoileus virginianus texanus	white-tailed deer	9880	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Odocoileinae; Odocoileus; Odocoileus virginianus	HLodoVir1	GCF_002102435.1	 16,228 	 601 	 1,174 	 346 	 81 	 18,605 	 18,744 
Okapia johnstoni	okapi	86973	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Giraffidae; Okapia	HLokaJoh2	DNA Zoo Consortium	 15,013 	 1,887 	 800 	 441 	 289 	 18,277 	 18,113 
Ondatra zibethicus	muskrat	10060	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Ondatra	HLondZib1	GCA_004026605.1	 15,892 	 973 	 453 	 609 	 503 	 17,801 	 20,537 
Onychomys torridus	southern grasshopper mouse	38674	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Onychomys	HLonyTor1	GCA_903995425.1	 16,626 	 277 	 754 	 604 	 169 	 18,179 	 21,095 
Orcinus orca	killer whale	9733	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Orcinus	HLorcOrc2	DNA Zoo Consortium	 16,222 	 319 	 690 	 984 	 215 	 17,709 	 17,447 
Oreamnos americanus	mountain goat	34873	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Oreamnos	HLoreAme1	GCA_009758055.1	 13,253 	 3,240 	 558 	 484 	 895 	 17,581 	 17,514 
Oreotragus oreotragus	klipspringer	66444	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Oreotragus	HLoreOre1	GCA_006410675.1	 13,715 	 2,427 	 1,315 	 507 	 466 	 17,998 	 17,737 
Ornithorhynchus anatinus	platypus	9258	Mammalia; Prototheria; Monotremata; Ornithorhynchidae; Ornithorhynchus	HLornAna3	GCA_004115215.1	 9,241 	 57 	 1,072 	 2,915 	 5,145 	 10,487 	 7,492 
Orycteropus afer afer	aardvark	1230840	Mammalia; Theria; Eutheria; Afrotheria; Tubulidentata; Orycteropodidae; Orycteropus; Orycteropus afer	HLoryAfeAfe2	DNA Zoo Consortium	 15,256 	 1,894 	 465 	 285 	 530 	 18,053 	 17,618 
Orycteropus afer afer	aardvark	1230840	Mammalia; Theria; Eutheria; Afrotheria; Tubulidentata; Orycteropodidae; Orycteropus; Orycteropus afer	oryAfe1	GCF_000298275.1	 15,323 	 1,881 	 465 	 349 	 412 	 18,117 	 17,823 
Oryctolagus cuniculus	rabbit	9986	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Lagomorpha; Leporidae; Oryctolagus	HLoryCun3	GCA_009806435.1	 13,408 	 681 	 2,439 	 784 	 1,118 	 17,078 	 17,340 
Oryctolagus cuniculus	rabbit	9986	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Lagomorpha; Leporidae; Oryctolagus	oryCun2	GCF_000003625.2	 13,365 	 1,575 	 1,517 	 547 	 1,426 	 17,010 	 17,277 
Oryctolagus cuniculus cuniculus	rabbit	568996	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Lagomorpha; Leporidae; Oryctolagus; Oryctolagus cuniculus	HLoryCunCun4	GCA_013371645.1	 16,079 	 142 	 1,605 	 513 	 91 	 18,449 	 18,857 
Oryx dammah	scimitar-horned oryx	59534	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Hippotraginae; Oryx	HLoryDam1	DNA Zoo Consortium	 17,111 	 347 	 463 	 368 	 141 	 18,493 	 18,574 
Oryx gazella	gemsbok	9958	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Hippotraginae; Oryx	HLoryGaz1	GCA_003945745.1	 13,564 	 1,982 	 1,607 	 506 	 771 	 17,714 	 17,703 
Osphranter rufus	red kangaroo	9321	Mammalia; Theria; Metatheria; Diprotodontia; Macropodidae; Osphranter	HLospRuf1	DNA Zoo Consortium	 10,411 	 2,139 	 677 	 941 	 4,262 	 13,437 	 10,779 
Otolemur garnettii	small-eared galago	30611	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lorisiformes; Galagidae; Otolemur	otoGar3	GCF_000181295.1	 15,787 	 1,685 	 444 	 261 	 253 	 18,541 	 18,704 
Ovis ammon	argali	30527	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Ovis	HLoviAmm1	GCA_003121645.1	 10,121 	 405 	 439 	 1,872 	 5,593 	 11,338 	 11,284 
Ovis aries	sheep	9940	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Ovis	HLoviAri5	GCA_011170295.1	 16,616 	 83 	 1,371 	 333 	 27 	 18,698 	 19,078 
Ovis canadensis	bighorn sheep	37174	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Ovis	HLoviCan2	GCA_004026945.1	 15,674 	 1,432 	 468 	 394 	 462 	 18,128 	 17,770 
Ovis canadensis canadensis	bighorn sheep	112262	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Ovis; Ovis canadensis	HLoviCan1	GCA_001039535.1	 4,981 	 3,251 	 4,292 	 1,178 	 4,728 	 12,899 	 12,451 
Ovis nivicola lydekkeri	snow sheep	1867112	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Ovis; Ovis nivicola	HLoviNivLyd1	GCA_903231385.1	 13,707 	 182 	 3,677 	 797 	 67 	 18,122 	 18,147 
Ovis orientalis	Asiatic mouflon	469796	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Ovis	HLoviOri1	GCA_014523465.1	 17,699 	 60 	 372 	 286 	 13 	 18,758 	 19,220 
Pachyuromys duprasi	fat-tailed gerbil	298894	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Gerbillinae; Pachyuromys	HLpacDup1	DNA Zoo Consortium	 15,419 	 1,265 	 465 	 669 	 612 	 17,602 	 20,139 
Pan paniscus	pygmy chimpanzee	9597	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Pan	panPan3	GCF_013052645.1	 18,036 	 82 	 178 	 75 	 59 	 19,265 	 19,271 
Pan troglodytes	chimpanzee	9598	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Pan	panTro6	GCF_002880755.1	 18,051 	 66 	 212 	 73 	 28 	 19,321 	 19,308 
Panthera leo	lion	9689	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Pantherinae; Panthera	HLpanLeo1	GCA_008795835.1	 16,973 	 378 	 656 	 352 	 71 	 18,584 	 18,778 
Panthera onca	jaguar	9690	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Pantherinae; Panthera	HLpanOnc1	GCA_004023805.1	 16,214 	 1,174 	 403 	 418 	 221 	 18,362 	 18,315 
Panthera onca	jaguar	9690	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Pantherinae; Panthera	HLpanOnc2	DNA Zoo Consortium	 14,988 	 2,180 	 473 	 464 	 325 	 18,193 	 17,980 
Panthera pardus	leopard	9691	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Pantherinae; Panthera	HLpanPar1	GCF_001857705.1	 16,946 	 526 	 529 	 285 	 144 	 18,601 	 18,801 
Panthera tigris altaica	Amur tiger	74533	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Pantherinae; Panthera; Panthera tigris	panTig1	GCF_000464555.1	 11,516 	 3,402 	 1,368 	 549 	 1,595 	 16,807 	 16,908 
Panthera uncia	snow leopard	29064	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Pantherinae; Panthera	HLpanUnc1	DNA Zoo Consortium	 15,967 	 1,370 	 443 	 320 	 330 	 18,352 	 18,190 
Pantholops hodgsonii	chiru	59538	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Pantholops	panHod1	GCF_000400835.1	 13,095 	 2,658 	 1,114 	 422 	 1,141 	 17,420 	 17,411 
Papio anubis	olive baboon	9555	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Papio	HLpapAnu5	GCF_008728515.1	 17,235 	 173 	 598 	 285 	 139 	 18,890 	 18,683 
Paradoxurus hermaphroditus	Asian palm civet	71117	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Viverridae; Paradoxurinae; Paradoxurus	HLparHer1	GCA_004024585.1	 14,507 	 2,572 	 435 	 421 	 495 	 18,050 	 17,604 
Pedetes capensis	springhare	10023	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Anomaluromorpha; Pedetidae; Pedetes	HLpedCap1	GCA_007922755.1	 16,008 	 1,276 	 448 	 461 	 237 	 18,289 	 19,048 
Peponocephala electra	melon-headed whale	103596	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Peponocephala	HLpepEle1	DNA Zoo Consortium	 15,663 	 800 	 646 	 1,081 	 240 	 17,589 	 17,316 
Perognathus longimembris pacificus	Pacific pocket mouse	214514	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Castorimorpha; Heteromyidae; Perognathinae; Perognathus; Perognathus longimembris	HLperLonPac1	GCA_004363475.1	 13,078 	 2,718 	 568 	 781 	 1,285 	 16,792 	 16,709 
Peromyscus californicus insignis	California mouse	564181	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Peromyscus; Peromyscus californicus	HLperCal2	GCA_007827085.2	 16,329 	 820 	 459 	 546 	 276 	 18,146 	 20,979 
Peromyscus crinitus	-	144753	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Peromyscus	HLperCri1	DNA Zoo Consortium	 14,298 	 1,591 	 1,292 	 652 	 597 	 17,703 	 20,451 
Peromyscus eremicus	cactus mouse	42410	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Peromyscus	HLperEre1	GCA_902702925.1	 13,741 	 1,412 	 2,040 	 834 	 403 	 17,721 	 20,626 
Peromyscus leucopus	white-footed mouse	10041	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Peromyscus	HLperLeu1	GCF_004664715.1	 15,804 	 98 	 1,619 	 566 	 343 	 18,048 	 20,952 
Peromyscus maniculatus bairdii	prairie deer mouse	230844	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Peromyscus; Peromyscus maniculatus	HLperManBai2	GCA_003704035.1	 16,055 	 1,011 	 446 	 490 	 428 	 18,032 	 20,852 
Peromyscus nasutus	northern rock mouse	97212	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Peromyscus	HLperNas1	DNA Zoo Consortium	 13,585 	 2,591 	 716 	 603 	 935 	 17,391 	 20,226 
Peromyscus polionotus subgriseus	oldfield mouse	369710	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Peromyscus; Peromyscus polionotus	HLperPol1	GCA_003704135.2	 15,841 	 1,093 	 606 	 493 	 397 	 18,053 	 20,866 
Petromus typicus	dassie-rat	10183	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Petromuridae; Petromus	HLpetTyp1	GCA_004026965.1	 13,784 	 2,751 	 598 	 610 	 687 	 17,597 	 17,243 
Phalanger gymnotis	-	65615	Mammalia; Theria; Metatheria; Diprotodontia; Phalangeridae; Phalanger	HLphaGym1	DNA Zoo Consortium	 9,978 	 2,637 	 686 	 845 	 4,284 	 13,512 	 10,864 
Phascolarctos cinereus	koala	38626	Mammalia; Theria; Metatheria; Diprotodontia; Phascolarctidae; Phascolarctos	HLphaCin1	GCF_002099425.1	 12,069 	 53 	 2,276 	 1,698 	 2,334 	 14,671 	 12,227 
Phataginus tricuspis	Tree pangolin	358128	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Pholidota; Manidae; Phataginus	HLphaTri2	DNA Zoo Consortium	 15,413 	 1,113 	 846 	 819 	 239 	 17,821 	 17,794 
Philantomba maxwellii	Maxwell's duiker	907741	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Cephalophinae; Philantomba	HLphiMax1	GCA_006410695.1	 9,693 	 4,334 	 2,299 	 897 	 1,207 	 16,824 	 16,023 
Phoca largha	spotted seal	39090	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Phocidae; Phoca	HLphoLar1	DNA Zoo Consortium	 15,613 	 1,535 	 507 	 422 	 353 	 18,208 	 17,921 
Phoca vitulina	harbor seal	9720	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Phocidae; Phoca	HLphoVit1	GCF_004348235.1	 17,105 	 244 	 588 	 410 	 83 	 18,528 	 18,566 
Phocoena phocoena	harbor porpoise	9742	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Phocoenidae; Phocoena	HLphoPho1	GCA_004363495.1	 15,611 	 805 	 674 	 1,038 	 302 	 17,562 	 17,265 
Phocoena phocoena	harbor porpoise	9742	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Phocoenidae; Phocoena	HLphoPho2	DNA Zoo Consortium	 14,891 	 1,444 	 695 	 1,121 	 279 	 17,482 	 17,167 
Phocoena sinus	vaquita	42100	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Phocoenidae; Phocoena	HLphoSin1	GCF_008692025.1	 15,913 	 80 	 1,211 	 1,164 	 62 	 17,680 	 17,497 
Phyllostomus discolor	pale spear-nosed bat	89673	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Phyllostomidae; Phyllostominae; Phyllostomus	HLphyDis3	Bat1K published	 17,259 	 71 	 455 	 591 	 54 	 18,316 	 18,327 
